6578fe70ff565b563a83a95f,Akbük Mah. 3044 Cadde No: 46 Didim / Aydın - Türkiye,Aydın,Ramada Resort by Wyndham Akbuk,Turkey,sales@ramadaresortakbuk.com,TR,2023-12-13T01:44:24.348Z,0 256 856 52 52,369,CSV_INSERT,5,false,melikoglu@4grands.com,https://www.ramadaresortakbuk.com/,,,,,,,,,,,,,,,,
6578fb7d2391374365203b77,"Cumhuriyet Cad. No: 50 34367 Harbiye - İstanbul, Türkiye",,Hilton İstanbul Bosphorus,Turkey,info.istanbul@hilton.com,TR,2024-01-04T10:51:43.184Z,0 212 315 60 00,,COCKPIT,5,false,gozde.ozlu@saritay.com,https://www.hilton.com/en/hotels/isthitw-hilton-istanbul-bosphorus/?SEO_id=GMB-EMEA-TW-ISTHITW,domain.HotelData,"","","","","",https://www.hilton.com.tr/oteller/turkiye/istanbul/hilton-istanbul-bosphorus,İstanbul,"",Hostels,"",Şişli,"",34367,,
640ffdb8f3084899b5bb8370,"Kuzey Mahallesi, Cahit Zarifoglu Caddesi No : 77 Körfez-Kocaeli",,Çinarpark Hotel,Turkey,info@cinarpark.com.tr,TR,2024-04-29T10:59:50.894Z,+90 262 505 00 35,33,COCKPIT,3,false,vildan.guler@saritay.com,http://www.cinarpark.com.tr/spa_merkezi.asp,domain.HotelData,"","","",4.075.944.194,2.979.228.660,https://www.cinarpark.com.tr/,Kocaeli,"Korfez, Marmara Region, Turkey",Hotels,30575766,Körfez,"",41780,,
640ffdb8f3084899b5bb8401,"Adrasan, Antalya",,Adrasan Grand Yazici Otel,Turkey,info@adrasanhotelyazici.com,TR,2024-01-08T09:53:58.839Z,0 (242) 883 1143,23,COCKPIT,3,false,vildan.guler@saritay.com,https://www.adrasanhotelyazici.com/,domain.HotelData,"","","",3.629.780.964,3.046.600.597,https://adrasanhotelyazici.com/,Antalya,"Adrasan, Mediterranean Region Turkey, Turkey",Hotels,30575955,Kumluca,"",7370,,
640ffdb8f3084899b5bb8442,Sirince Yolu 4 km Selcuk / Izmir,İzmir,Sirincem Sakli Vadi,Turkey,iletisim@sirincemsaklivadi.com.tr,TR,,"",7,"",3,false,"","",domain.HotelData,"","","",3.795.598.254.376.320,2.741.815.745.830.530,"",İzmir,"İzmir, Aegean Reigon, Turkey ",Accommodations,30576044,Selçuk,"",35920,Selçuk,
640ffdb8f3084899b5bb860c,"Foca Mahallesi, M.Kemal Ataturk Caddesi, No:193",,Anna Apart Hotel,Turkey,sezai.eser@hotmail.com,TR,2024-01-08T10:06:21.535Z,+90 252 613 2918,17,COCKPIT,3,false,vildan.guler@saritay.com,http://www.anna-aparthotel.com/,domain.HotelData,"","","",366.556.406.160.388,29.115.571.975.708,https://www.annaaparthotel.com/,Muğla,"Fethiye, Aegean Region, Turkey",Aparthotels,30576655,Fethiye,"",48300,,
640ffdb8f3084899b5bb83af,Sehit Mehmet Pasa Yokusu Sok No:32 Sultanahmet,,Ada Hotel Istanbul,Turkey,ada@adaistanbul.com,TR,2024-01-08T09:56:14.266Z,+90 212 518 84 75,21,COCKPIT,3,false,vildan.guler@saritay.com,http://www.adaistanbul.com/,domain.HotelData,"","","",4.100.497.379,2.897.305.012,"",İstanbul,"Fatih, Istanbul, Marmara Region, Turkey",Hotels,30575855,Fatih,"",34122,,
640ffdb8f3084899b5bb8446,"Agva Merkez mah., Yakuplu Cad., Akin Sok, No:3, Sile",,Agva Sahil Yildizi Hotel,Turkey,info@agvasahilyildizi.com,TR,2024-01-08T09:55:29.791Z,+90 216 721 8680,18,COCKPIT,3,true,vildan.guler@saritay.com,http://www.tesisimizinkonumu.com/,domain.HotelData,"","","",411.366.132.751.432,298.487.484.455.109,https://www.agvasahilyildizi.com/tr/,İstanbul,"Agva, Marmara Region, Turkey",Hotels,30576021,Şile,"",34216,,
640ffdb8f3084899b5bb8719,Istasyon Arkasi Sk.No:15 Sirkeci,,Askoc Hotel & SPA,Turkey,askoc@askochotel.com,TR,2024-11-14T07:25:50.199Z,+90 212 511 80 89,108,"",,true,"",http://www.askochotel.com/,domain.HotelData,"",info@askochotel.com,"",4.101.461.688,2.897.794.515,"",İstanbul,"Fatih, Istanbul, Marmara Region, Turkey",Hotels,30577152,Fatih,"",34110,,
640ffdb8f3084899b5bb868b,Aziziye Mah. Nacifikret Sok. No:3 Karatay,Konya,Araf Hotel,Turkey,stay@arafhotel.com,TR,2023-12-19T12:42:03.585Z,+90 332 350 44 44,13,COCKPIT,3,false,vildan.guler@saritay.com,http://www.arafhotel.com/,domain.HotelData,"","","",3.787.174.877,3.250.308.986,"",Konya,"Konya, Central Anatolia Region, Turkey",Hotels,30576955,Karatay,"",42000,Karatay,
640ffdb8f3084899b5bb8464,Bahcivan Mah. Kazim Karabekir Caddesi No:9,Van,Akdamar Hotel,Turkey,info@otelakdamar.com,TR,,"",66,"","",false,"",http://www.otelakdamar.com/,"","","","",3.849.920.909.699.290,43.390.347.361.564.600,"",Van,"",Hotels,30576086,İpekyolu,"",65000,İpekyolu,
640ffdb8f3084899b5bb855b,Besyol mahallesi Birlik Cad.No:8 Küçükçekmece,İstanbul,Alrazi Hotel Florya,Turkey,email-girilmeyecek@xn--sartay-r9a.com,TR,2023-10-06T09:31:06.870Z,+90 212 624 22 22,145,"","",false,"",http://www.alrazihotel.com/,domain.HotelData,"","","",4.099.153.438,2.879.541.222,"",İstanbul,"Kucukcekmece, Istanbul, Marmara Region, Turkey",Hotels,30576432,Küçükçekmece,"",34295,Küçükçekmece,
