6916ef583ea59b1cf2214371,domain.HotelLeadScore,7,2025-11-14T08:59:04.923Z,kermanotel@hotmail.com,640ffdc4f3084899b5bb962f,Kerman Hotel,2025-11-14T08:59:04.914Z,7,7,1,7,2025-11-14T08:59:04.923Z
6916ef593ea59b1cf2214372,domain.HotelLeadScore,6,2025-11-14T08:59:05.866Z,bilgi@altinyazotel.com,640ffdb8f3084899b5bb8569,Altinyaz Hotel,2025-11-14T08:59:05.866Z,6,6,1,6,2025-11-14T08:59:05.866Z
6916ef5a3ea59b1cf2214373,domain.HotelLeadScore,39.5,2025-11-14T08:59:06.654Z,info.samsun@parkinn.com,640ffdd6f3084899b5bbac45,Park Inn by Radisson Samsun,2025-11-20T10:17:05.006Z,67,12,2,79,2025-11-20T10:17:05.006Z
6916ef5a3ea59b1cf2214374,domain.HotelLeadScore,30,2025-11-14T08:59:06.893Z,h8158-re@accor.com,640ffdc4f3084899b5bb9400,Ibis Izmir Alsancak,2025-11-20T10:17:04.924Z,72,6,3,90,2025-11-20T10:17:04.924Z
6916ef5c3ea59b1cf2214375,domain.HotelLeadScore,6,2025-11-14T08:59:08.649Z,otelkestanbol@gmail.com,640ffdc4f3084899b5bb9642,Kestanbol Hotel,2025-11-14T08:59:08.649Z,6,6,1,6,2025-11-14T08:59:08.649Z
6916ef5d3ea59b1cf2214376,domain.HotelLeadScore,42,2025-11-14T08:59:09.156Z,info.izmir@parkinn.com,640ffdd6f3084899b5bbac44,Park Inn by Radisson Izmir,2025-11-20T10:17:05.870Z,72,12,2,84,2025-11-20T10:17:05.871Z
6916ef5d3ea59b1cf2214377,domain.HotelLeadScore,44.5,2025-11-14T08:59:09.920Z,h6905-re@accor.com,640ffdc4f3084899b5bb9401,Ibis Kayseri,2025-11-20T10:17:05.827Z,77,12,2,89,2025-11-20T10:17:05.827Z
6916ef5e3ea59b1cf2214378,domain.HotelLeadScore,42,2025-11-14T08:59:10.178Z,h9328@accor.com,640ffdc4f3084899b5bb9403,Ibis Konya,2025-11-20T10:17:05.930Z,72,12,2,84,2025-11-20T10:17:05.930Z
6916ef5e3ea59b1cf2214379,domain.HotelLeadScore,6,2025-11-14T08:59:10.425Z,info@lotushotelistanbul.com,640ffdc7f3084899b5bb9876,Lotus Hotel,2025-11-14T08:59:10.424Z,6,6,1,6,2025-11-14T08:59:10.425Z
6916ef5e3ea59b1cf221437a,domain.HotelLeadScore,4,2025-11-14T08:59:10.927Z,info@hotelatici.com,640ffdbbf3084899b5bb8785,Atici Hotel,2025-11-14T08:59:10.926Z,4,4,1,4,2025-11-14T08:59:10.927Z
